CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
89.086.144/0001-16;2015-01-01;2;RANDON S.A. IMPLEMENTOS E PARTICIPACOES;014109;FCA;47949;2015-05-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=47949
89.086.144/0001-16;2015-01-01;3;RANDON S.A. IMPLEMENTOS E PARTICIPACOES;014109;FCA;48538;2015-06-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=48538
89.096.457/0001-55;2015-01-01;1;SLC AGRICOLA S.A.;020745;FCA;44920;2015-03-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=44920
89.096.457/0001-55;2015-01-01;2;SLC AGRICOLA S.A.;020745;FCA;46795;2015-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46795
89.463.822/0001-12;2015-01-01;1;LUPATECH S.A;020060;FCA;43485;2015-01-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43485
89.463.822/0001-12;2015-01-01;2;LUPATECH S.A;020060;FCA;48867;2015-06-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=48867
89.547.269/0001-04;2015-01-01;1;DIGITEL SA INDUSTRIA ELETRONICA;012858;FCA;46124;2015-04-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46124
89.637.490/0001-45;2015-01-01;1;KLABIN S.A.;012653;FCA;43995;2015-02-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43995
89.637.490/0001-45;2015-01-01;2;KLABIN S.A.;012653;FCA;46582;2015-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46582
89.723.993/0001-33;2015-01-01;1;CONSTRUTORA SULTEPA S.A. - EM RECUPERAÇÃO JUDICIAL;013030;FCA;50514;2015-09-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=50514
89.723.993/0001-33;2015-01-01;2;CONSTRUTORA SULTEPA S.A. - EM RECUPERAÇÃO JUDICIAL;013030;FCA;51031;2015-10-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=51031
89.723.993/0001-33;2015-01-01;3;CONSTRUTORA SULTEPA S.A. - EM RECUPERAÇÃO JUDICIAL;013030;FCA;51397;2015-11-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=51397
89.723.993/0001-33;2015-01-01;4;CONSTRUTORA SULTEPA S.A. - EM RECUPERAÇÃO JUDICIAL;013030;FCA;52061;2015-11-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=52061
89.850.341/0001-60;2015-01-01;1;GRENDENE S.A.;019615;FCA;43622;2015-01-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43622
89.850.341/0001-60;2015-01-01;2;GRENDENE S.A.;019615;FCA;46555;2015-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46555
