CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Valor_Mobiliario;Sigla_Classe_Acao_Preferencial;Classe_Acao_Preferencial;Codigo_Negociacao;Composicao_BDR_Unit;Mercado;Sigla_Entidade_Administradora;Entidade_Administradora;Data_Inicio_Negociacao;Data_Fim_Negociacao;Segmento;Data_Inicio_Listagem;Data_Fim_Listagem
07.628.528/0001-59;2013-01-01;3;31365;BRASILAGRO CIA BRAS DE PROP AGRICOLAS;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-04-25;;Nível 1 de Governança Corporativa;2006-04-25;
07.628.528/0001-59;2013-01-01;3;31365;BRASILAGRO CIA BRAS DE PROP AGRICOLAS;Bônus de Subscrição;;;;;Balcão Não-Organizado;;;;;;2006-04-25;
07.689.002/0001-89;2013-01-01;3;33524;EMBRAER S.A;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-05-23;;Nível 1 de Governança Corporativa;2006-05-23;
07.700.557/0001-84;2013-01-01;3;28702;BROOKFIELD INCORPORAÇÕES S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-10-20;;Nível 1 de Governança Corporativa;2006-09-11;
07.700.557/0001-84;2013-01-01;3;28702;BROOKFIELD INCORPORAÇÕES S.A.;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2011-08-08;;;2011-08-08;
07.718.269/0001-57;2013-01-01;3;29935;SPRINGS GLOBAL PARTICIPAÇÕES S/A;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2007-07-27;;Nível 1 de Governança Corporativa;2007-07-27;
07.816.890/0001-53;2013-01-01;4;31547;MULTIPLAN EMP. IMOBILIARIOS S/A;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2007-07-27;;Bovespa Mais N2;2007-07-27;
07.820.907/0001-46;2013-01-01;2;27023;CR2 EMPREENDIMENTOS IMOBILIÁRIOS S/A;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2007-04-25;;Nível 1 de Governança Corporativa;2007-04-25;
07.820.907/0001-46;2013-01-01;2;27023;CR2 EMPREENDIMENTOS IMOBILIÁRIOS S/A;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2010-11-05;;;2010-11-05;
07.857.850/0001-50;2013-01-01;1;25564;GP INVESTMENTS, LTD;Certificados de depósito de valores mobiliários;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-06-30;;;2006-06-30;
