date,ABEV3,BBAS3,BBDC4,CMIG4,EGIE3,ITUB4,PETR4,TAEE11,VALE3,WEGE3
2023-03-28,0.89897169,1.72083522,0.68655575,0.94782115,1.14023549,1.00813352,1.64481631,1.10661913,1.01202192,1.17543410
2023-03-29,0.91252712,1.74082908,0.69027334,0.96514354,1.14281384,1.01790468,1.66643111,1.10314416,1.02655770,1.18566268
2023-03-30,0.91314328,1.77263749,0.71099749,0.98334445,1.15570157,1.04594262,1.67131187,1.10093282,1.04326110,1.18935633
2023-03-31,0.88295163,1.80437606,0.69983833,0.99113840,1.15054889,1.05103999,1.63505479,1.10030100,1.02375255,1.15213567
2023-04-03,0.88295163,1.78315353,0.68328776,1.00326858,1.13594092,1.02158773,1.70756895,1.09461469,1.02400756,1.12485946
2023-04-04,0.88911319,1.81268053,0.69765596,1.01106253,1.15226511,1.04199135,1.69222941,1.11135772,0.99506351,1.12599597
2023-04-05,0.88726472,1.80622150,0.70351180,1.01279703,1.14510348,1.04114361,1.69780743,1.11135772,0.98040022,1.10099278
2023-04-06,0.88911319,1.80022383,0.69339659,1.01279703,1.14997547,1.03774300,1.67340362,1.10725094,0.97861512,1.09701500
2023-04-10,0.89096166,1.80114655,0.70137892,1.02839619,1.14109361,1.04879738,1.70896345,1.07250126,0.99748614,1.09076420
2023-04-11,0.91067865,1.84266888,0.73809765,1.04658583,1.14109361,1.08280342,1.78914737,1.07218536,1.05014647,1.11065311
2023-04-12,0.90944634,1.97092675,0.73437469,1.08037464,1.15512816,1.09003331,1.80239515,1.09619422,1.02770526,1.12912137
2023-04-13,0.89897169,1.97000403,0.73490472,1.06911171,1.16601497,1.09003331,1.81494568,1.10409188,1.01380702,1.11860867
2023-04-14,0.90266863,2.00368326,0.73384467,1.06650997,1.17546624,1.10576472,1.83377147,1.09935328,1.00488154,1.10127691
2023-04-17,0.90883019,2.00829685,0.73065173,1.07690566,1.17976081,1.10363573,1.86235878,1.11704403,0.99289589,1.12173407
2023-04-18,0.90143631,2.01198773,0.72586233,1.08037464,1.17489283,1.10278799,1.90977188,1.10914637,1.00143885,1.11576740
2023-04-19,0.89835553,1.98845841,0.71255419,1.07171345,1.16572626,1.08535628,1.84841375,1.09714194,0.97223978,1.11122136
2023-04-20,0.89958785,2.00737413,0.71894005,1.08644537,1.18806927,1.08833301,1.86096428,1.09461469,0.95196619,1.14361186
2023-04-24,0.88356779,2.00322190,0.71309060,1.08384363,1.17918740,1.07855507,1.89652411,1.11957128,0.91753934,1.14645313
2023-04-25,0.88048701,1.98476753,0.72905527,1.08124189,1.17775588,1.08833301,1.88885434,1.11988718,0.89254800,1.15185155
2023-04-26,0.87555776,1.96861996,0.71841003,1.07431518,1.16486814,1.07727864,1.86514779,1.10977819,0.89599068,1.13963408
